agenda,date,draft,draft_url,meeting_record,meeting_record_url,veto_power,veto_china,veto_france,veto_russia,veto_ussr,veto_uk,veto_usa,datetime,agenda_cleaned
Application for Membership Austria,21 August 1947,S/PV.190,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.190,S/PV.190,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.190,USSR,,,,USSR,,,1947-08-21,Application for Membership Austria
Application for Membership Italy,21 August 1947,S/PV.190,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.190,S/PV.190,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.190,USSR,,,,USSR,,,1947-08-21,Application for Membership Italy
The Greek question Greek frontier incidents,19 August 1947,S/486,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/486,S/PV.188,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.188,USSR,,,,USSR,,,1947-08-19,Greek question Greek frontier incidents
The Greek question Greek frontier incidents,19 August 1947,S/471,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/471,S/471/Add.1,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/471/Add.1,USSR,,,,USSR,,,1947-08-19,Greek question Greek frontier incidents
Application for Membership Portugal,18 August 1947,S/PV.186,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.186,S/PV.186,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.186,USSR,,,,USSR,,,1947-08-18,Application for Membership Portugal
Application for Membership Ireland,18 August 1947,S/PV.186,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.186,S/PV.186,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.186,USSR,,,,USSR,,,1947-08-18,Application for Membership Ireland
Application for Membership Transjordan,18 August 1947,S/PV.186,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.186,S/PV.186,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.186,USSR,,,,USSR,,,1947-08-18,Application for Membership Transjordan
The Greek question Greek frontier incidents,29 July 1947,S/PV.170,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.170,S/PV.170,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.170,USSR,,,,USSR,,,1947-07-29,Greek question Greek frontier incidents
Incidents in the Corfu Channel,25 March 1947,S/PV.122,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.122,S/PV.122,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.122,USSR,,,,USSR,,,1947-03-25,Incidents in the Corfu Channel
Telegram dated 24 August 1946 from the Ukrainian Soviet Socialist Republic to the Secretary-General,20 September 1946,S/PV.70,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.70,S/PV.70,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.70,USSR,,,,USSR,,,1946-09-20,Telegram dated 24 August 1946 from the Ukrainian Soviet Socialist Republic to the Secretary-General
Application for Membership Portugal,29 August 1946,S/PV.57,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.57,S/PV.57,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.57,USSR,,,,USSR,,,1946-08-29,Application for Membership Portugal
Application for Membership Ireland,29 August 1946,S/PV.57,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.57,S/PV.57,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.57,USSR,,,,USSR,,,1946-08-29,Application for Membership Ireland
Application for Membership Transjordan,29 August 1946,S/PV.57,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.57,S/PV.57,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.57,USSR,,,,USSR,,,1946-08-29,Application for Membership Transjordan
The Spanish question,26 June 1946,S/PV.49,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.49,S/PV.49,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.49,USSR,,,,USSR,,,1946-06-26,Spain
The Spanish question preliminary question,26 June 1946,S/PV.49,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.49,S/PV.49,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.49,USSR,,,,USSR,,,1946-06-26,Spain question preliminary
The Spanish question,26 June 1946,S/PV.49,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.49,S/PV.49,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.49,USSR,,,,USSR,,,1946-06-26,Spain
The Spanish question,18 June 1946,S/PV.45,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.45,S/PV.47,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.47,USSR,,,,USSR,,,1946-06-18,Spain
Letter from the Heads of the Lebanese and Syrian delegations to the Secretary-General dated 4 February 1946,16 February 1946,S/PV.23,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.23,S/PV.23,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.23,USSR,,,,USSR,,,1946-02-16,Letter from the Heads of the Lebanese and Syrian delegations to the Secretary-General dated 4 February 1946
